subscription_id,customer_id,plan_id,billing_period,period_start,period_end,subscription_start,subscription_end
subs_01KG4TH3WB5SC4QS3QJ50YG33F,cust_01KFB8ERXHATWFMK0VJ18245EF0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2026-02-05,2027-02-05
subs_01KG4TH5DA7YJ498EJZNF9CNP1,cust_01KFB8B5JQB98NMCSWBZPXZ9JM0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2025-10-01,2025-11-01,2025-09-08,2026-09-08
subs_01KG4TH5DA7YJ498EJZNF9CNP1,cust_01KFB8B5JQB98NMCSWBZPXZ9JM0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2025-11-01,2025-12-01,2025-09-08,2026-09-08
subs_01KG4TH5DA7YJ498EJZNF9CNP1,cust_01KFB8B5JQB98NMCSWBZPXZ9JM0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2025-12-01,2026-01-01,2025-09-08,2026-09-08
subs_01KG4TH5DA7YJ498EJZNF9CNP1,cust_01KFB8B5JQB98NMCSWBZPXZ9JM0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-01-01,2026-02-01,2025-09-08,2026-09-08
subs_01KG4TH5DA7YJ498EJZNF9CNP1,cust_01KFB8B5JQB98NMCSWBZPXZ9JM0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-02-01,2026-03-01,2025-09-08,2026-09-08
subs_01KG4TH5DA7YJ498EJZNF9CNP1,cust_01KFB8B5JQB98NMCSWBZPXZ9JM0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-09-08,2026-09-08
subs_01KG4THB4PNXSVPSMXY9EKSNZP,cust_01KFBHEB0JHY5ARCVJW3PP37HT0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2026-02-20,2027-02-20
subs_01KG4THBRXSBJBBKEKHXDCX7K6,cust_01KFB8E73PY9ZAGSEHRYAK8YT10,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-09-30,2026-09-30
subs_01KG4THQ09VST66GTPAY2MM09P,cust_01KFB87WPFQMSZVA0PFE71XCX90,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-11-20,2026-11-20
subs_01KG4TJG9Z1B7FECDB2GSP751Y,cust_01KFB88YMPA498VE1TZ6WJ51QV0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-09-01,2026-09-01
subs_01KG4TJJRG4KXH34Z195AWBYXG,cust_01KFB89WXCXX2TT2PJHGHJMY600,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-08-29,2026-08-29
subs_01KG4TK2QKP4X1TZRDJEMYPT7H,cust_01KFB8BD6AQGJFAR5YY5V3TDWC0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-11-07,2026-11-07
subs_01KG4TK32QGW5DQ3SZX6FTY89Y,cust_01KFBNR7TKKMW0Q45D6443NG550,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-01-01,2026-02-01,2025-12-22,2026-12-22
subs_01KG4TK32QGW5DQ3SZX6FTY89Y,cust_01KFBNR7TKKMW0Q45D6443NG550,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-02-01,2026-03-01,2025-12-22,2026-12-22
subs_01KG4TK32QGW5DQ3SZX6FTY89Y,cust_01KFBNR7TKKMW0Q45D6443NG550,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-12-22,2026-12-22
subs_01KG4TK734PZ0T3Q3DRM5XE61P,cust_01KFB8CFBANKV79TQ2NWGN5ABG0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-10-28,2026-10-28
subs_01KG4TKE1MQ7R78XMWTRC4K46D,cust_01KFBNPV0EFKDXG08ERH4D7FR00,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-12-01,2026-12-01
subs_01KG4TKQEDM8XRHZ815X03Q3ZT,cust_01KFB89EV99Z834X4EKZ03ERCF0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2025-12-01,2026-01-01,2025-11-27,2026-11-27
subs_01KG4TKQEDM8XRHZ815X03Q3ZT,cust_01KFB89EV99Z834X4EKZ03ERCF0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-01-01,2026-02-01,2025-11-27,2026-11-27
subs_01KG4TKQEDM8XRHZ815X03Q3ZT,cust_01KFB89EV99Z834X4EKZ03ERCF0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-02-01,2026-03-01,2025-11-27,2026-11-27
subs_01KG4TKQEDM8XRHZ815X03Q3ZT,cust_01KFB89EV99Z834X4EKZ03ERCF0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-11-27,2026-11-27
subs_01KG4TMCMZXKXP54YQ062SANGG,cust_01KFB8C79G8EAK7Z2SV468F7BV0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-05-09,2026-05-09
subs_01KG4TN4P4DXB7HXSTKX7ZQ70D,cust_01KFB8BC13KKBEAP0FTY40AQTP0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-12-31,2026-12-31
subs_01KG4TN5QHF1RQFH34DWCNCYWF,cust_01KFB8AZV7N264ZY19FCXR7JAF0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-05-27,2026-05-27
subs_01KG4TN6PB09YNXMRTPTQKHX6K,cust_01KFB881XZYRR5CF5ZS7RFR68Z0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-07-31,2026-07-31
subs_01KG4TNK45PVR6837P7WPSZMTN,cust_01KFB89PPB4RDCQ2YTPBXGNEZV0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2026-02-26,2027-02-26
subs_01KG4TNWGNSDGP5EH5655E9DS5,cust_01KFCCRM9YM8HWJVEG6ZSC1H080,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-07-25,2026-07-25
subs_01KG4TNY1SV3W6A46X1FEPWF8V,cust_01KFB896D9DNE06CA6F04C6HEP0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-11-07,2026-11-07
subs_01KG4TPD6A2JNYZFYX95BS08W0,cust_01KFBNR3DS8BS7DBRHNGTB19XJ0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2025-11-01,2025-12-01,2025-10-31,2027-02-16
subs_01KG4TPD6A2JNYZFYX95BS08W0,cust_01KFBNR3DS8BS7DBRHNGTB19XJ0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2025-12-01,2026-01-01,2025-10-31,2027-02-16
subs_01KG4TPD6A2JNYZFYX95BS08W0,cust_01KFBNR3DS8BS7DBRHNGTB19XJ0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-01-01,2026-02-01,2025-10-31,2027-02-16
subs_01KG4TPD6A2JNYZFYX95BS08W0,cust_01KFBNR3DS8BS7DBRHNGTB19XJ0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-02-01,2026-03-01,2025-10-31,2027-02-16
subs_01KG4TPD6A2JNYZFYX95BS08W0,cust_01KFBNR3DS8BS7DBRHNGTB19XJ0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-10-31,2027-02-16
subs_01KG4TPRX8WNRQVPWVSPV4BAX5,cust_01KFB88PEZFMYKBZZ5QSE421NE0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-08-08,2026-08-08
subs_01KG4TRXR6NW24WM0Z68T8HWH9,cust_01KFB8PVNRZDWXAM9A31H25GR10,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-11-24,2026-11-24
subs_01KG4TW2MBVZGNTK3ZXSKE909D,cust_01KFDBHQ5HVYEXGK2NETSTEK3C0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2026-02-13,2027-02-13
subs_01KG4TXC5GBG284BTDYNEA1JKS,cust_01KFBGMZF3RTHAG4EJFM2DYFKE0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2026-01-30,2027-01-30
subs_01KG4V7MCD2SX2378ZC458G9DY,cust_01KFDFAKT31VR9RJES2KCVQP840,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2025-11-01,2025-12-01,2025-11-01,
subs_01KG4V7MCD2SX2378ZC458G9DY,cust_01KFDFAKT31VR9RJES2KCVQP840,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2025-12-01,2026-01-01,2025-11-01,
subs_01KG4V7MCD2SX2378ZC458G9DY,cust_01KFDFAKT31VR9RJES2KCVQP840,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-11-01,
subs_01KG4V9YQ03PX1QJ0SFB0ACZR9,cust_01KFDEZGH6JTTBMST9VX6432YN0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-07-17,2026-07-17
subs_01KG4VYV87V3KSFE5GBHQX41CB,cust_01KFDMYEGEJX2BJ6YHKA5V3DEV0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-10-31,2026-10-31
subs_01KG4W71EKDA1NBNFJDW3Z1QRW,cust_01KFDKVP0KM9AAV6N7P2FHVX450,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-12-05,2026-12-05
subs_01KG4W77DEH47QVZXKR6JZ8PD7,cust_01KFDM9MJHHB3CT1WD9MQFMN6M0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2026-02-27,2027-02-27
subs_01KG4WWQA4E8HKBYYB8A0Z4686,cust_01KFN7QPCXQK7D4H72EDN3T3PJ0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2025-01-01,2025-02-01,2024-12-10,2026-12-10
subs_01KG4WWQA4E8HKBYYB8A0Z4686,cust_01KFN7QPCXQK7D4H72EDN3T3PJ0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2025-02-01,2025-03-01,2024-12-10,2026-12-10
subs_01KG4WWQA4E8HKBYYB8A0Z4686,cust_01KFN7QPCXQK7D4H72EDN3T3PJ0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2025-03-01,2025-04-01,2024-12-10,2026-12-10
subs_01KG4WWQA4E8HKBYYB8A0Z4686,cust_01KFN7QPCXQK7D4H72EDN3T3PJ0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2025-04-01,2025-05-01,2024-12-10,2026-12-10
subs_01KG4WWQA4E8HKBYYB8A0Z4686,cust_01KFN7QPCXQK7D4H72EDN3T3PJ0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2025-05-01,2025-06-01,2024-12-10,2026-12-10
subs_01KG4WWQA4E8HKBYYB8A0Z4686,cust_01KFN7QPCXQK7D4H72EDN3T3PJ0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2025-06-01,2025-07-01,2024-12-10,2026-12-10
subs_01KG4WWQA4E8HKBYYB8A0Z4686,cust_01KFN7QPCXQK7D4H72EDN3T3PJ0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2025-07-01,2025-08-01,2024-12-10,2026-12-10
subs_01KG4WWQA4E8HKBYYB8A0Z4686,cust_01KFN7QPCXQK7D4H72EDN3T3PJ0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2025-08-01,2025-09-01,2024-12-10,2026-12-10
subs_01KG4WWQA4E8HKBYYB8A0Z4686,cust_01KFN7QPCXQK7D4H72EDN3T3PJ0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2025-09-01,2025-10-01,2024-12-10,2026-12-10
subs_01KG4WWQA4E8HKBYYB8A0Z4686,cust_01KFN7QPCXQK7D4H72EDN3T3PJ0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2025-10-01,2025-11-01,2024-12-10,2026-12-10
subs_01KG4WWQA4E8HKBYYB8A0Z4686,cust_01KFN7QPCXQK7D4H72EDN3T3PJ0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2025-11-01,2025-12-01,2024-12-10,2026-12-10
subs_01KG4WWQA4E8HKBYYB8A0Z4686,cust_01KFN7QPCXQK7D4H72EDN3T3PJ0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2025-12-01,2026-01-01,2024-12-10,2026-12-10
subs_01KG4WWQA4E8HKBYYB8A0Z4686,cust_01KFN7QPCXQK7D4H72EDN3T3PJ0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-01-01,2026-02-01,2024-12-10,2026-12-10
subs_01KG4WWQA4E8HKBYYB8A0Z4686,cust_01KFN7QPCXQK7D4H72EDN3T3PJ0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-02-01,2026-03-01,2024-12-10,2026-12-10
subs_01KG4WWQA4E8HKBYYB8A0Z4686,cust_01KFN7QPCXQK7D4H72EDN3T3PJ0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2024-12-10,2026-12-10
subs_01KG4WXAB9W98R539KAQ74TH1X,cust_01KFGPZGM1CG0SSTQYQ53WEM810,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-07-16,2026-07-16
subs_01KJAHPJRJFE0JC0H508ENS7MK,cust_01KJAHPJP1SXNZQ7XZ2RE61KRG,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2026-01-27,2027-01-27
subs_01KJAWDAMYTFDTM83HB3CTDQFV,cust_01KJAWDAJEJ3JQAR8N01B6ZWG3,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2026-02-12,2027-02-12
subs_01KJDEJ387Y62N3GDMZAJZT0W9,cust_01KJDEJ35KC37CFCP62CEYSCC4,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2026-01-27,2027-01-27
subs_01KK2C8S0SKP1766YX07DAQ301,cust_01KK2C8RWX94RN2E795A2M9XWS,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-07-10,2026-07-10
subs_01KK2C962RA6VHJXAACHK6MKE2,cust_01KK2C95YVCNWGXP7J18BMGAZV,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-10-01,2026-10-01
subs_01KK2CFDMTDB7F4FAFEYTR71R8,cust_01KK2CFDGTEVDB60QJ1GTYSQN5,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-12-31,2026-12-31
subs_01KKERWQM1ZSV8ZXB28T40K45F,cust_01KFDDK40HG28C7T9Z654Z74C10,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-12-31,2026-12-31
subs_01KKETA45K4Y2A7FSFREXNN9ST,cust_01KFB8A3JHXNK8QVEZJ5WJ7KPK0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-09-25,2026-09-25
subs_01KKETAX8GGHXKGRH40K4VE2Y0,cust_01KFB8EDFF6371BF1D7ZCAWMVF0,plan_01KKEMG8P7KTJ71DFDJAMQE8NP,MONTHLY,2026-03-01,2026-03-30,2025-06-21,2026-06-21
subs_01KKETBCTWMHEVCJCREF8CRVSW,cust_01KFB8A255R5FPF6TW0E0YSEH00,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-12-31,2026-12-31
subs_01KKETQ155S5MCJN1P6QDJMNMQ,cust_01KFBNPDQX4PK6ESXSCGX3SXB30,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-10-31,2026-10-31
subs_01KKEVX943D2GYCZKPXFRJSJ9P,cust_01KFBQXWW27Y1S6YYCVPV0504N0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-12-01,2026-12-01
subs_01KKEVYKGX7FCTR2FXXVWHB1N3,cust_01KFB8A6K3FQNTDR087VW6BNE20,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2026-01-21,2027-01-21
subs_01KKEW2GPV8N0E8QPMHSYZ703N,cust_01KFB8AQA16XWTD7RCNSCH3NNG0,plan_01KKEN9WR84B7G6RG3N6ZZ7646,MONTHLY,2026-03-01,2026-03-30,2025-07-25,2026-07-25
subs_01KKEW5QH4F69P1BCXF5KNQ4XX,cust_01KK2C8ZNEK2GXWSPW8F7TY35S,plan_01KKEN9WR84B7G6RG3N6ZZ7646,MONTHLY,2026-03-01,2026-03-30,2025-05-30,2026-05-30
subs_01KKHHCJZZDKVP0EFT5VS8MSJ7,cust_01KKHFS13QATY0K13H2G1TYG9C,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-12-31,2026-12-31
